CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR
266859,HP60NW 281,"Unst, Hillsgarth, Old Manse Of Unst Steading",Farmstead (Period Unassigned),460969,1209289,SHETLAND ISLANDS,SHETLAND,UNST,HP 60969 09289
266860,HP60NW 282,"Unst, Baliasta, Hillsgarth, Northern Outbuilding",Farmstead (Period Unassigned),460979,1209296,SHETLAND ISLANDS,SHETLAND,UNST,HP 60979 09296
270989,HP50SE 103,"Unst, Snabrough, Easterhouse","Croft (Period Unassigned), Farmstead (Period Unassigned)",457010,1202710,SHETLAND ISLANDS,SHETLAND,UNST,HP 5701 0271
271059,HP50SE 107,"Unst, Braeside","Croft (Period Unassigned), Farmstead (Period Unassigned)",456051,1201268,SHETLAND ISLANDS,SHETLAND,UNST,HP 56051 01268
283378,HP61SW 114,"Unst, Toft",Farmstead (Norse)(Possible),460850,1214200,SHETLAND ISLANDS,SHETLAND,UNST,HP 6085 1420
283379,HP61SW 115,"Unst, The Farm",Farmstead (Norse)(Possible),462850,1212270,SHETLAND ISLANDS,SHETLAND,UNST,HP 6285 1227
283380,HP61SW 116,"Unst, Stove",Farmstead (Norse)(Possible),462300,1212350,SHETLAND ISLANDS,SHETLAND,UNST,HP 6230 1235
283381,HP60NW 95,"Unst, Old Ordale",Farmstead (Norse)(Possible),463570,1207980,SHETLAND ISLANDS,SHETLAND,UNST,HP 6357 0798
283382,HP60NW 96,"Unst, Kirkhouss",Farmstead (Norse)(Possible),461970,1208550,SHETLAND ISLANDS,SHETLAND,UNST,HP 6197 0855
283383,HP60NW 97,"Unst, Stutoft","Farmstead (Norse)(Possible), Structure (Period Unassigned)",463100,1208200,SHETLAND ISLANDS,SHETLAND,UNST,HP 6310 0820
283384,HP61SW 117,"Unst, Gue",Farmstead (Norse)(Possible),460500,1210050,SHETLAND ISLANDS,SHETLAND,UNST,HP 6050 1005
283385,HP60NW 98,"Unst, Langista",Farmstead (Norse)(Possible),460150,1209500,SHETLAND ISLANDS,SHETLAND,UNST,HP 6015 0950
283386,HP50NE 60,"Unst, Feall",Farmstead (Norse)(Possible),457570,1205840,SHETLAND ISLANDS,SHETLAND,UNST,HP 5757 0584
283387,HP50NE 61,"Unst, The Barn",Farmstead (Norse)(Possible),457300,1206470,SHETLAND ISLANDS,SHETLAND,UNST,HP 5730 0647
283388,HP50SE 111,"Unst, Baila",Farmstead (Norse)(Possible),457470,1204750,SHETLAND ISLANDS,SHETLAND,UNST,HP 5747 0475
283394,HP50NE 62,"Unst, Newgord West",Farmstead(S) (Norse)(Possible),457200,1205900,SHETLAND ISLANDS,SHETLAND,UNST,HP 5720 0590
283395,HP50SE 112,"Unst, Blyth-houll",Farmstead (Norse)(Possible),457069,1203486,SHETLAND ISLANDS,SHETLAND,UNST,HP 57069 03486
283396,HP50SE 113,"Unst, Blyth-houll",Farmstead (Norse)(Possible),457017,1203520,SHETLAND ISLANDS,SHETLAND,UNST,HP 57017 03520
283397,HP50SE 114,"Unst, Blyth-houll",Farmstead (Norse)(Possible),457263,1203503,SHETLAND ISLANDS,SHETLAND,UNST,HP 57263 03503
